in s,C1 in V
-3.0536554,1.1862512
-3.0536097,1.1886926
-3.0535639,1.1883875
-3.0535181,1.1825891
-3.0534723,1.184115
-3.0534265,1.178927
-3.0533807,1.1749597
-3.053335,1.1740442
-3.0532892,1.1728235
-3.0532434,1.1694666
-3.0531976,1.1654993
-3.0531518,1.1618372
-3.053106,1.1569543
-3.0530603,1.1557336
-3.0530145,1.1539026
-3.0529687,1.1474939
-3.0529229,1.144137
-3.0528771,1.1416956
-3.0528313,1.138949
-3.0527856,1.1352869
-3.0527398,1.1380334
-3.052694,1.1352869
-3.0526482,1.135592
-3.0526024,1.1383386
-3.0525566,1.1392542
-3.0525108,1.138949
-3.0524651,1.1401697
-3.0524193,1.1383386
-3.0523735,1.1371179
-3.0523277,1.14078
-3.0522819,1.1368127
-3.0522361,1.1374231
-3.0521904,1.1352869
-3.0521446,1.133761
-3.0520988,1.128573
-3.052053,1.1267419
-3.0520072,1.1230798
-3.0519614,1.118197
-3.0519157,1.1139246
-3.0518699,1.107821
-3.0518241,1.1066003
-3.0517783,1.0974451
-3.0517325,1.0867639
-3.0516867,1.0824915
-3.051641,1.0751672
-3.0515952,1.0666223
-3.0515494,1.0602136
-3.0515036,1.0550256
-3.0514578,1.0425134
-3.051412,1.0321375
-3.0513662,1.0248132
-3.0513205,1.0095544
-3.0512747,0.99826294
-3.0512289,0.98758179
-3.0511831,0.97903687
-3.0511373,0.97049194
-3.0510915,0.9534021
-3.0510458,0.94729858
-3.051,0.93692261
-3.0509542,0.92685181
-3.0509084,0.92013794
-3.0508626,0.91342407
-3.0508168,0.90579468
-3.0507711,0.89908081
-3.0507253,0.88748413
-3.0506795,0.87741333
-3.0506337,0.87192017
-3.0505879,0.86307007
-3.0505421,0.85544067
-3.0504964,0.84720093
-3.0504506,0.84231812
-3.0504048,0.83194214
-3.050359,0.82431274
-3.0503132,0.81637817
-3.0502674,0.80447632
-3.0502216,0.79532104
-3.0501759,0.78982788
-3.0501301,0.78158813
-3.0500843,0.77121216
-3.0500385,0.76327759
-3.0499927,0.75656372
-3.0499469,0.74466187
-3.0499012,0.73825317
-3.0498554,0.73367554
-3.0498096,0.72665649
-3.0497638,0.71811157
-3.049718,0.70651489
-3.0496722,0.69461304
-3.0496265,0.68942505
-3.0495807,0.68423706
-3.0495349,0.67721802
-3.0494891,0.66440063
-3.0494433,0.65249878
-3.0493975,0.64456421
-3.0493518,0.63510376
-3.049306,0.62716919
-3.0492602,0.61923462
-3.0492144,0.60611206
-3.0491686,0.59573608
-3.0491228,0.58993774
-3.049077,0.57864624
-3.0490313,0.56460815
-3.0489855,0.55514771
-3.0489397,0.54141479
-3.0488939,0.53164917
-3.0488481,0.5224939
-3.0488023,0.51211792
-3.0487566,0.49991089
-3.0487108,0.48739868
-3.048665,0.47488647
-3.0486192,0.46725708
-3.0485734,0.46237427
-3.0485276,0.45413452
-3.0484819,0.44345337
-3.0484361,0.43490845
-3.0483903,0.42697388
-3.0483445,0.42117554
-3.0482987,0.41140991
-3.0482529,0.40378052
-3.0482072,0.39615112
-3.0481614,0.39035278
-3.0481156,0.38333374
-3.0480698,0.3775354
-3.048024,0.3662439
-3.0479782,0.36227661
-3.0479324,0.35281616
-3.0478867,0.34060913
-3.0478409,0.33420044
-3.0477951,0.3284021
-3.0477493,0.32382446
-3.0477035,0.31527954
-3.0476577,0.31039673
-3.047612,0.30765015
-3.0475662,0.30124146
-3.0475204,0.29269653
-3.0474746,0.28964478
-3.0474288,0.28384644
-3.047383,0.27713257
-3.0473373,0.26980835
-3.0472915,0.25790649
-3.0472457,0.24966675
-3.0471999,0.23959595
-3.0471541,0.2325769
-3.0471083,0.22586304
-3.0470626,0.22677856
-3.0470168,0.21457153
-3.046971,0.20541626
-3.0469252,0.19320923
-3.0468794,0.18496948
-3.0468336,0.1733728
-3.0467878,0.16574341
-3.0467421,0.1520105
-3.0466963,0.14132935
-3.0466505,0.12973267
-3.0466047,0.12149292
-3.0465589,0.11325317
-3.0465131,0.098299561
-3.0464674,0.087313232
-3.0464216,0.079683838
-3.0463758,0.065340576
-3.04633,0.051607666
-3.0462842,0.041842041
-3.0462384,0.028719482
-3.0461927,0.015291748
-3.0461469,0.001253662
-3.0461011,-0.005460205
-3.0460553,-0.019803467
-3.0460095,-0.027432861
-3.0459637,-0.039334717
-3.045918,-0.048795166
-3.0458722,-0.057645264
-3.0458264,-0.06802124
-3.0457806,-0.082669678
-3.0457348,-0.098233643
-3.045689,-0.10769409
-3.0456432,-0.1113562
-3.0455975,-0.12478394
-3.0455517,-0.13943237
-3.0455059,-0.15133423
-3.0454601,-0.16262573
-3.0454143,-0.17117065
-3.0453685,-0.18429321
-3.0453228,-0.199552
-3.045277,-0.21572632
-3.0452312,-0.22671265
-3.0451854,-0.24197144
-3.0451396,-0.25387329
-3.0450938,-0.26211304
-3.0450481,-0.2752356
-3.0450023,-0.29171509
-3.0449565,-0.30178589
-3.0449107,-0.30880493
-3.0448649,-0.32131714
-3.0448191,-0.33108276
-3.0447734,-0.34298462
-3.0447276,-0.35000366
-3.0446818,-0.35915894
-3.044636,-0.37167114
-3.0445902,-0.38631958
-3.0445444,-0.39578003
-3.0444986,-0.40401978
-3.0444529,-0.41470093
