in s,C1 in V
-3.0578676,0.5119489
-3.0578218,0.5117963
-3.057776,0.5108807
-3.0577302,0.5105756
-3.0576844,0.510423
-3.0576387,0.5092023
-3.0575929,0.5084393
-3.0575471,0.5082867
-3.0575013,0.5076764
-3.0574555,0.5079816
-3.0574097,0.5069135
-3.057364,0.5067609
-3.0573182,0.5067609
-3.0572724,0.5073712
-3.0572266,0.5075238
-3.0571808,0.5072186
-3.057135,0.5067609
-3.0570892,0.5066083
-3.0570435,0.5067609
-3.0569977,0.5066083
-3.0569519,0.507066
-3.0569061,0.5066083
-3.0568603,0.5066083
-3.0568145,0.5064557
-3.0567688,0.5063031
-3.056723,0.5064557
-3.0566772,0.5064557
-3.0566314,0.5063031
-3.0565856,0.5063031
-3.0565398,0.5073712
-3.0564941,0.5076764
-3.0564483,0.5076764
-3.0564025,0.5079816
-3.0563567,0.5087445
-3.0563109,0.5087445
-3.0562651,0.5084393
-3.0562194,0.5088971
-3.0561736,0.5088971
-3.0561278,0.5090497
-3.056082,0.5090497
-3.0560362,0.5090497
-3.0559904,0.5095074
-3.0559446,0.5098126
-3.0558989,0.5098126
-3.0558531,0.5084393
-3.0558073,0.5087445
-3.0557615,0.5087445
-3.0557157,0.5082867
-3.0556699,0.5081342
-3.0556242,0.5088971
-3.0555784,0.507829
-3.0555326,0.5072186
-3.0554868,0.5066083
-3.055441,0.5059979
-3.0553952,0.5049298
-3.0553495,0.5041669
-3.0553037,0.5035565
-3.0552579,0.5018781
-3.0552121,0.5018781
-3.0551663,0.5009625
-3.0551205,0.4998944
-3.0550748,0.4986737
-3.055029,0.4966901
-3.0549832,0.4957745
-3.0549374,0.4950116
-3.0548916,0.4937909
-3.0548458,0.4933331
-3.0548,0.4915021
-3.0547543,0.4907391
-3.0547085,0.4887555
-3.0546627,0.487077
-3.0546169,0.4853986
-3.0545711,0.4832623
-3.0545253,0.481889
-3.0544796,0.4797528
-3.0544338,0.4783795
-3.054388,0.4768536
-3.0543422,0.4756329
-3.0542964,0.4725812
-3.0542506,0.4705975
-3.0542049,0.4692242
-3.0541591,0.4675458
-3.0541133,0.4651044
-3.0540675,0.4635785
-3.0540217,0.4634259
-3.0539759,0.4608319
-3.0539302,0.4590009
-3.0538844,0.4573224
-3.0538386,0.4557965
-3.0537928,0.4545758
-3.053747,0.4524396
-3.0537012,0.4509137
-3.0536554,0.4493878
-3.0536097,0.4472516
-3.0535639,0.4458783
-3.0535181,0.4449628
-3.0534723,0.4435895
-3.0534265,0.4420636
-3.0533807,0.44008
-3.053335,0.4388593
-3.0532892,0.4376385
-3.0532434,0.4353497
-3.0531976,0.4338239
-3.0531518,0.4321454
-3.053106,0.4303143
-3.0530603,0.4281781
-3.0530145,0.4275677
-3.0529687,0.4260419
-3.0529229,0.4246686
-3.0528771,0.4232953
-3.0528313,0.4220746
-3.0527856,0.4207013
-3.0527398,0.4194806
-3.052694,0.4179547
-3.0526482,0.4162762
-3.0526024,0.4147504
-3.0525566,0.4132245
-3.0525108,0.4120038
-3.0524651,0.4113934
-3.0524193,0.4095624
-3.0523735,0.4078839
-3.0523277,0.4060529
-3.0522819,0.4051373
-3.0522361,0.403764
-3.0521904,0.4022382
-3.0521446,0.4008649
-3.0520988,0.3999493
-3.052053,0.3988812
-3.0520072,0.3968976
-3.0519614,0.394151
-3.0519157,0.3920148
-3.0518699,0.391557
-3.0518241,0.3903363
-3.0517783,0.388963
-3.0517325,0.386369
-3.0516867,0.3831647
-3.051641,0.3814862
-3.0515952,0.3790448
-3.0515494,0.3778241
-3.0515036,0.3758405
-3.0514578,0.3740094
-3.051412,0.3714154
-3.0513662,0.3695844
-3.0513205,0.3669904
-3.0512747,0.3648541
-3.0512289,0.3634808
-3.0511831,0.3610394
-3.0511373,0.3592084
-3.0510915,0.3569196
-3.0510458,0.354173
-3.051,0.3514264
-3.0509542,0.348985
-3.0509084,0.3466962
-3.0508626,0.3434918
-3.0508168,0.3418134
-3.0507711,0.338609
-3.0507253,0.3355573
-3.0506795,0.333421
-3.0506337,0.3303693
-3.0505879,0.3262494
-3.0505421,0.3227399
-3.0504964,0.3192303
-3.0504506,0.316026
-3.0504048,0.3140424
-3.050359,0.3111432
-3.0503132,0.3083966
-3.0502674,0.3059552
-3.0502216,0.3035138
-3.0501759,0.2998517
-3.0501301,0.2966473
-3.0500843,0.2929852
-3.0500385,0.2894757
-3.0499927,0.2870343
-3.0499469,0.2841351
-3.0499012,0.2803204
-3.0498554,0.2774213
-3.0498096,0.2743695
-3.0497638,0.2719281
-3.049718,0.2685712
-3.0496722,0.2646039
-3.0496265,0.2610944
-3.0495807,0.2588055
-3.0495349,0.2554486
-3.0494891,0.2517865
-3.0494433,0.2490399
-3.0493975,0.2470563
-3.0493518,0.2455304
-3.049306,0.2418683
-3.0492602,0.2392743
-3.0492144,0.2369855
-3.0491686,0.2336285
-3.0491228,0.2313397
-3.049077,0.2281354
-3.0490313,0.2255414
-3.0489855,0.2226422
-3.0489397,0.2191327
-3.0488939,0.2168439
-3.0488481,0.2150128
-3.0488023,0.2121136
-3.0487566,0.2102826
-3.0487108,0.2076886
-3.048665,0.2047894
-3.0486192,0.2025006
-3.0485734,0.2006696
-3.0485276,0.1986859
-3.0484819,0.1967023
-3.0484361,0.1947186
-3.0483903,0.1931927
-3.0483445,0.1912091
-3.0482987,0.1892255
-3.0482529,0.1872418
-3.0482072,0.1860211
-3.0481614,0.1843427
-3.0481156,0.1815961
-3.0480698,0.1788495
-3.048024,0.177171
-3.0479782,0.1751874
-3.0479324,0.1732037
-3.0478867,0.1724408
-3.0478409,0.1699994
-3.0477951,0.1663373
-3.0477493,0.164964
-3.0477035,0.1635907
-3.0476577,0.1620648
-3.047612,0.1600812
-3.0475662,0.1579449
-3.0475204,0.1565717
-3.0474746,0.1547406
-3.0474288,0.1526044
-3.047383,0.1510785
-3.0473373,0.1492474
-3.0472915,0.1486371
-3.0472457,0.1471112
-3.0471999,0.1451276
-3.0471541,0.1432965
-3.0471083,0.1414655
-3.0470626,0.139787
-3.0470168,0.1378033
-3.046971,0.1362775
-3.0469252,0.1349042
-3.0468794,0.1329205
-3.0468336,0.1307843
-3.0467878,0.1288007
-3.0467421,0.1262067
-3.0466963,0.1245282
-3.0466505,0.1220868
-3.0466047,0.119798
-3.0465589,0.1176617
-3.0465131,0.1159833
-3.0464674,0.1136945
-3.0464216,0.1112531
-3.0463758,0.109422
-3.04633,0.1077435
-3.0462842,0.1053021
-3.0462384,0.1031659
-3.0461927,0.1020978
-3.0461469,0.09858826
-3.0461011,0.09645203
-3.0460553,0.09401062
-3.0460095,0.09217957
-3.0459637,0.08897522
-3.045918,0.08744934
-3.0458722,0.08531311
-3.0458264,0.08088806
-3.0457806,0.07859924
-3.0457348,0.07585266
-3.045689,0.07310608
-3.0456432,0.07005432
-3.0455975,0.06852844
-3.0455517,0.06639221
-3.0455059,0.06364563
-3.0454601,0.06089905
-3.0454143,0.05906799
-3.0453685,0.05632141
-3.0453228,0.05418518
-3.045277,0.05204895
-3.0452312,0.04960754
-3.0451854,0.04731873
-3.0451396,0.04487732
-3.0450938,0.0425885
-3.0450481,0.04029968
-3.0450023,0.03785828
-3.0449565,0.03556946
-3.0449107,0.03343323
-3.0448649,0.031297
-3.0448191,0.02977112
-3.0447734,0.02778748
-3.0447276,0.02565125
-3.0446818,0.02229431
-3.044636,0.02015808
-3.0445902,0.01832703
-3.0445444,0.01680115
-3.0444986,0.01420715
-3.0444529,0.01191833
-3.0444071,0.01039246
-3.0443613,0.008561401
-3.0443155,0.006730347
-3.0442697,0.005814819
-3.0442239,0.003526001
-3.0441782,0.002610474
-3.0441324,0.000932007
-3.0440866,-0.001356812
-3.0440408,-0.003950806
-3.043995,-0.005476685
-3.0439492,-0.006392212
-3.0439035,-0.008070679
-3.0438577,-0.00944397
-3.0438119,-0.0103595
-3.0437661,-0.01188538
-3.0437203,-0.01356384
-3.0436745,-0.01508972
-3.0436288,-0.01600525
-3.043583,-0.01768372
-3.0435372,-0.01905701
-3.0434914,-0.02058289
-3.0434456,-0.02210876
-3.0433998,-0.02317688
-3.043354,-0.024245
-3.0433083,-0.02561829
-3.0432625,-0.02622864
-3.0432167,-0.02867004
-3.0431709,-0.02973816
-3.0431251,-0.03019592
-3.0430793,-0.03095886
-3.0430336,-0.03217957
-3.0429878,-0.0329425
-3.042942,-0.03340027
-3.0428962,-0.03507874
-3.0428504,-0.03660461
-3.0428046,-0.03721497
-3.0427589,-0.03889343
-3.0427131,-0.03996155
-3.0426673,-0.0417926
-3.0426215,-0.04164001
-3.0425757,-0.04194519
-3.0425299,-0.04331848
-3.0424842,-0.04530212
-3.0424384,-0.04621765
-3.0423926,-0.04728577
-3.0423468,-0.04881165
-3.042301,-0.04987976
-3.0422552,-0.05033752
-3.0422094,-0.05140564
-3.0421637,-0.05247375
-3.0421179,-0.05323669
-3.0420721,-0.05399963
-3.0420263,-0.0544574
-3.0419805,-0.05522034
-3.0419347,-0.05628845
-3.041889,-0.05598328
-3.0418432,-0.05842468
-3.0417974,-0.05995056
-3.0417516,-0.06086609
-3.0417058,-0.0619342
-3.04166,-0.06376526
-3.0416143,-0.06422302
-3.0415685,-0.06544373
-3.0415227,-0.06681702
-3.0414769,-0.06681702
-3.0414311,-0.06849548
-3.0413853,-0.06986877
-3.0413396,-0.07215759
-3.0412938,-0.07383606
-3.041248,-0.07551453
-3.0412022,-0.07612488
-3.0411564,-0.07643005
-3.0411106,-0.0784137
-3.0410648,-0.0796344
-3.0410191,-0.08039734
-3.0409733,-0.08207581
-3.0409275,-0.08405945
-3.0408817,-0.08482239
-3.0408359,-0.08695862
-3.0407901,-0.08894226
-3.0407444,-0.09077332
-3.0406986,-0.09260437
-3.0406528,-0.09428284
-3.040607,-0.09672424
-3.0405612,-0.09779236
-3.0405154,-0.09947083
-3.0404697,-0.1011493
-3.0404239,-0.10237
-3.0403781,-0.1043536
-3.0403323,-0.1063373
-3.0402865,-0.1084735
-3.0402407,-0.1106097
-3.040195,-0.1110675
-3.0401492,-0.1125934
-3.0401034,-0.1135089
-3.0400576,-0.1162555
-3.0400118,-0.1170184
-3.039966,-0.1190021
-3.0399202,-0.1206805
-3.0398745,-0.1212909
-3.0398287,-0.1234271
-3.0397829,-0.1246478
-3.0397371,-0.1257159
-3.0396913,-0.1269366
-3.0396455,-0.1289203
-3.0395998,-0.1298358
-3.039554,-0.1312091
-3.0395082,-0.1331927
-3.0394624,-0.1354816
-3.0394166,-0.1365497
-3.0393708,-0.1382281
-3.0393251,-0.139754
-3.0392793,-0.1412799
-3.0392335,-0.1425006
-3.0391877,-0.1434161
-3.0391419,-0.1452472
-3.0390961,-0.1453998
-3.0390504,-0.1467731
-3.0390046,-0.1487567
-3.0389588,-0.1493671
-3.038913,-0.1508929
-3.0388672,-0.1522662
-3.0388214,-0.1525714
-3.0387756,-0.1531818
-3.0387299,-0.1547076
-3.0386841,-0.1556232
-3.0386383,-0.157149
-3.0385925,-0.1577594
-3.0385467,-0.1583698
-3.0385009,-0.1588275
-3.0384552,-0.1608112
-3.0384094,-0.1615741
-3.0383636,-0.1632526
-3.0383178,-0.1637103
-3.038272,-0.1643207
-3.0382262,-0.165694
-3.0381805,-0.1670673
-3.0381347,-0.1679828
-3.0380889,-0.1681354
-3.0380431,-0.1693561
-3.0379973,-0.1696613
-3.0379515,-0.170882
-3.0379058,-0.1714923
-3.03786,-0.1724078
-3.0378142,-0.1733234
-3.0377684,-0.1748492
-3.0377226,-0.1759174
-3.0376768,-0.1768329
-3.037631,-0.1774432
-3.0375853,-0.1789691
-3.0375395,-0.1794269
-3.0374937,-0.1800372
-3.0374479,-0.180495
-3.0374021,-0.182326
-3.0373563,-0.1832416
-3.0373106,-0.1835468
-3.0372648,-0.1847675
-3.037219,-0.1855304
-3.0371732,-0.1855304
-3.0371274,-0.1867511
-3.0370816,-0.1873615
-3.0370359,-0.1881244
-3.0369901,-0.1896503
-3.0369443,-0.1899554
-3.0368985,-0.1905658
-3.0368527,-0.1916339
-3.0368069,-0.1923969
-3.0367612,-0.193465
-3.0367154,-0.1951434
-3.0366696,-0.1956012
-3.0366238,-0.1963641
-3.036578,-0.1975848
-3.0365322,-0.1977374
-3.0364864,-0.1992633
-3.0364407,-0.2006366
-3.0363949,-0.2012469
-3.0363491,-0.2015521
-3.0363033,-0.2026202
-3.0362575,-0.2041461
-3.0362117,-0.205672
-3.036166,-0.2067401
-3.0361202,-0.2064349
-3.0360744,-0.2075031
-3.0360286,-0.208266
-3.0359828,-0.2097919
-3.035937,-0.2104022
-3.0358913,-0.2113177
-3.0358455,-0.2116229
-3.0357997,-0.2133014
-3.0357539,-0.2145221
-3.0357081,-0.2151324
-3.0356623,-0.216048
-3.0356166,-0.2168109
-3.0355708,-0.2181842
-3.035525,-0.2192523
-3.0354792,-0.2201678
-3.0354334,-0.221236
-3.0353876,-0.2213885
-3.0353418,-0.2224567
-3.0352961,-0.2233722
-3.0352503,-0.2244403
-3.0352045,-0.2250507
-3.0351587,-0.2265765
-3.0351129,-0.2274921
-3.0350671,-0.2281024
-3.0350214,-0.2287128
-3.0349756,-0.2296283
-3.0349298,-0.2303912
-3.034884,-0.2313068
-3.0348382,-0.2332904
-3.0347924,-0.2331378
-3.0347467,-0.2332904
-3.0347009,-0.2339008
-3.0346551,-0.2348163
-3.0346093,-0.2355792
-3.0345635,-0.236037
-3.0345177,-0.2374103
-3.034472,-0.2384784
-3.0344262,-0.2384784
-3.0343804,-0.2384784
-3.0343346,-0.2400043
-3.0342888,-0.2406146
-3.034243,-0.2407672
-3.0341972,-0.2415302
-3.0341515,-0.2425983
-3.0341057,-0.2427509
-3.0340599,-0.2432086
-3.0340141,-0.2441241
-3.0339683,-0.243819
-3.0339225,-0.2453448
-3.0338768,-0.2450397
-3.033831,-0.2454974
-3.0337852,-0.24565
-3.0337394,-0.2462604
-3.0336936,-0.2462604
-3.0336478,-0.2470233
-3.0336021,-0.2473285
-3.0335563,-0.2477863
-3.0335105,-0.2485492
-3.0334647,-0.249007
-3.0334189,-0.249007
-3.0333731,-0.2483966
-3.0333274,-0.2505328
-3.0332816,-0.2512958
-3.0332358,-0.2519061
-3.03319,-0.2523639
-3.0331442,-0.2529742
-3.0330984,-0.2525165
-3.0330526,-0.2522113
-3.0330069,-0.2528217
-3.0329611,-0.2531268
-3.0329153,-0.2528217
-3.0328695,-0.253432
-3.0328237,-0.2546527
-3.0327779,-0.2545001
-3.0327322,-0.2545001
-3.0326864,-0.2554156
-3.0326406,-0.256026
-3.0325948,-0.256026
-3.032549,-0.2552631
-3.0325032,-0.256026
-3.0324575,-0.2561786
-3.0324117,-0.2566364
-3.0323659,-0.2557208
-3.0323201,-0.2552631
-3.0322743,-0.256026
-3.0322285,-0.2564838
-3.0321828,-0.2564838
-3.032137,-0.2567889
-3.0320912,-0.2564838
-3.0320454,-0.256026
-3.0319996,-0.256026
-3.0319538,-0.256026
-3.031908,-0.2566364
-3.0318623,-0.2569415
-3.0318165,-0.2577045
-3.0317707,-0.2581622
-3.0317249,-0.2583148
-3.0316791,-0.2577045
-3.0316333,-0.2587726
-3.0315876,-0.2596881
-3.0315418,-0.2599933
-3.031496,-0.2590778
-3.0314502,-0.2599933
-3.0314044,-0.260451
-3.0313586,-0.2610614
-3.0313129,-0.2606036
-3.0312671,-0.260451
-3.0312213,-0.2615192
-3.0311755,-0.2616718
-3.0311297,-0.2621295
-3.0310839,-0.2628925
-3.0310382,-0.263808
-3.0309924,-0.2644183
-3.0309466,-0.2644183
-3.0309008,-0.2641132
-3.030855,-0.2645709
-3.0308092,-0.2653339
-3.0307634,-0.2659442
-3.0307177,-0.2659442
-3.0306719,-0.2657916
-3.0306261,-0.2659442
-3.0305803,-0.2667072
-3.0305345,-0.2668597
-3.0304887,-0.2660968
-3.030443,-0.2667072
-3.0303972,-0.2673175
-3.0303514,-0.2683856
-3.0303056,-0.2693011
-3.0302598,-0.2693011
-3.030214,-0.268996
-3.0301683,-0.2699115
-3.0301225,-0.2705219
-3.0300767,-0.2697589
-3.0300309,-0.270827
-3.0299851,-0.2703693
