Status_RPM_V1,Status_TotalCurrent_V1,Status_DutyCycle_V1,Status_RPM_V2,Status_TotalCurrent_V2,Status_DutyCycle_V2,TorqueValue
-192.14285329999998,0.0,-9.4,192.71428186,0.14,12.200000000000001,0
-185.99999628,0.0,-9.5,192.71428186,0.14,12.200000000000001,0
-187.14285339999998,0.0,-10.600000000000001,192.71428186,0.14,12.200000000000001,0
-188.42856766,0.0,-9.9,187.28571054,0.19000000000000003,12.5,0
-188.85713908,0.0,-9.9,188.99999621999999,0.19000000000000003,12.4,0
-188.85713908,0.0,-9.9,189.57142478,0.17000000000000004,12.5,0
-189.42856763999998,0.0,-9.5,189.85713905999998,0.15000000000000002,12.8,0
-189.2857105,0.0,-9.700000000000001,189.85713905999998,0.15000000000000002,12.8,0
-189.85713905999998,0.0,-10.100000000000001,189.85713905999998,0.15000000000000002,12.8,0
-189.85713905999998,0.0,-10.100000000000001,190.99999617999998,0.16000000000000003,13.0,0
-189.85713905999998,0.0,-10.100000000000001,191.71428188,0.18000000000000002,12.9,0
-192.28571044,0.0,-9.600000000000001,191.71428188,0.18000000000000002,12.9,0
-192.28571044,0.0,-10.5,192.857139,0.13,13.200000000000001,0
-191.99999616,0.0,-9.700000000000001,192.857139,0.13,13.200000000000001,0
-192.57142471999998,0.0,-9.9,192.857139,0.13,13.200000000000001,0
-194.2857104,0.0,-10.8,193.14285328,0.15000000000000002,13.3,0
-194.2857104,0.0,-10.8,193.14285328,0.15000000000000002,13.3,0
-194.71428182,0.0,-10.600000000000001,194.85713896,0.17000000000000004,12.8,0
-194.57142467999998,0.0,-9.8,194.85713896,0.17000000000000004,12.8,0
-193.85713898,0.0,-10.200000000000001,193.85713898,0.19000000000000003,13.100000000000001,0
-194.2857104,0.0,-9.600000000000001,194.14285325999998,0.15000000000000002,13.4,0
-194.2857104,0.0,-9.600000000000001,194.14285325999998,0.15000000000000002,13.4,0
-196.14285321999998,0.0,-10.600000000000001,195.99999608,0.15000000000000002,13.3,0
-196.14285321999998,0.0,-9.600000000000001,196.28571036,0.17000000000000004,13.0,0
-195.99999608,0.0,-10.4,196.14285321999998,0.14,13.4,0
-195.99999608,0.0,-10.4,196.14285321999998,0.14,13.4,0
