in s,C1 in V
-3.0509542,0.7652448
-3.0509084,0.7461713
-3.0508626,0.7286237
-3.0508168,0.7104657
-3.0507711,0.69185
-3.0507253,0.6741498
-3.0506795,0.6561444
-3.0506337,0.6361554
-3.0505879,0.616319
-3.0505421,0.5961774
-3.0504964,0.5751202
-3.0504506,0.5537579
-3.0504048,0.5328534
-3.050359,0.510423
-3.0503132,0.4872296
-3.0502674,0.4619
-3.0502216,0.4368756
-3.0501759,0.4095624
-3.0501301,0.3828595
-3.0500843,0.3558514
-3.0500385,0.3274701
-3.0499927,0.2983258
-3.0499469,0.2699445
-3.0499012,0.2408002
-3.0498554,0.2111981
-3.0498096,0.180528
-3.0497638,0.1489423
-3.049718,0.1184247
-3.0496722,0.08775452
-3.0496265,0.05738953
-3.0495807,0.02839783
-3.0495349,1.64795E-05
-3.0494891,-0.02958557
-3.0494433,-0.05857727
-3.0493975,-0.08940002
-3.0493518,-0.1200702
-3.049306,-0.1493671
-3.0492602,-0.1798846
-3.0492144,-0.2097919
-3.0491686,-0.2403094
-3.0491228,-0.2693011
-3.049077,-0.2992084
-3.0490313,-0.3291156
-3.0489855,-0.3587177
-3.0489397,-0.3872516
-3.0488939,-0.4151752
-3.0488481,-0.4429462
-3.0488023,-0.4708698
-3.0487566,-0.4984882
-3.0487108,-0.5250385
-3.048665,-0.5526569
-3.0486192,-0.5802753
-3.0485734,-0.6072833
-3.0485276,-0.6341388
-3.0484819,-0.6609943
-3.0484361,-0.6863239
-3.0483903,-0.7137897
-3.0483445,-0.7392719
-3.0482987,-0.7638385
-3.0482529,-0.7864215
-3.0482072,-0.8100726
-3.0481614,-0.8329608
-3.0481156,-0.8555438
-3.0480698,-0.8764484
-3.048024,-0.8985736
-3.0479782,-0.9196307
-3.0479324,-0.9393146
-3.0478867,-0.9582355
-3.0478409,-0.9779193
-3.0477951,-0.9974506
-3.0477493,-1.016524
-3.0477035,-1.033919
-3.0476577,-1.051924
-3.047612,-1.068709
-3.0475662,-1.086867
-3.0475204,-1.103499
-3.0474746,-1.120131
-3.0474288,-1.136458
-3.047383,-1.151717
-3.0473373,-1.166976
-3.0472915,-1.181624
-3.0472457,-1.196273
-3.0471999,-1.20909
-3.0471541,-1.220992
-3.0471083,-1.232283
-3.0470626,-1.243727
-3.0470168,-1.253493
-3.046971,-1.264022
-3.0469252,-1.273482
-3.0468794,-1.283095
-3.0468336,-1.292708
-3.0467878,-1.30049
-3.0467421,-1.309188
-3.0466963,-1.317733
-3.0466505,-1.325362
-3.0466047,-1.333144
-3.0465589,-1.341841
-3.0465131,-1.349776
-3.0464674,-1.357711
-3.0464216,-1.367171
-3.0463758,-1.376174
-3.04633,-1.385482
-3.0462842,-1.396315
-3.0462384,-1.407607
-3.0461927,-1.418593
-3.0461469,-1.430037
-3.0461011,-1.442244
-3.0460553,-1.455062
-3.0460095,-1.468947
-3.0459637,-1.482375
-3.045918,-1.495803
-3.0458722,-1.50923
-3.0458264,-1.521437
-3.0457806,-1.53395
-3.0457348,-1.545394
-3.045689,-1.555464
-3.0456432,-1.565535
-3.0455975,-1.573775
-3.0455517,-1.58171
-3.0455059,-1.587966
-3.0454601,-1.593306
-3.0454143,-1.598036
-3.0453685,-1.601393
-3.0453228,-1.60475
-3.045277,-1.607955
-3.0452312,-1.610549
-3.0451854,-1.612838
-3.0451396,-1.614516
-3.0450938,-1.616042
-3.0450481,-1.617568
-3.0450023,-1.620314
-3.0449565,-1.622603
-3.0449107,-1.623366
-3.0448649,-1.626113
-3.0448191,-1.627944
-3.0447734,-1.631148
-3.0447276,-1.633895
-3.0446818,-1.636336
